"Dte.","Barris","TOTAL ","Total","Espanya","Italia","Francia","Romania","Regne Unit","Alemanya","Russia","Portugal","Ucraina","Paisos Baixos","Polonia","Bulgaria","Suecia","Belgica","Irlanda","Resta paisos",,"Total ","Marroc, el","Algeria","Senegal","Resta paisos",,"Total","Bolivia","Equador","Peru","Colombia","Hondures","Brasil","Argentina","Republica Dominicana","Venezuela","Estats Units, els","Mexic","Paraguai","Xile","Cuba","Uruguai","El Salvador","Resta paisos",,"Total","Pakistan","Xina","Filipines","India","Bangladesh","Georgia","Armenia","Japo","Nepal","Resta paisos",,"Oceania","Apatrides/No consta"
7,"39. Sant Gen�s dels Agudells",3.647,3.365,3.239,23,9,14,7,8,17,11,13,3,5,5,0,0,1,10,,40,29,3,0,8,,208,21,16,35,12,32,7,8,12,17,5,5,13,8,4,8,2,3,,34,6,10,1,3,0,5,0,3,1,5,,0,0
7,"40. Montbau",2.830,2.637,2.577,6,4,13,3,2,16,2,3,0,2,3,0,0,1,5,,14,10,2,0,2,,146,11,4,10,16,12,11,9,11,6,2,7,10,29,1,3,2,2,,33,2,11,0,4,0,3,6,1,0,6,,0,0
7,"41. la Vall d'Hebron",2.993,2.852,2.734,17,5,21,5,7,27,4,10,0,2,5,1,0,2,12,,9,4,0,1,4,,112,5,4,18,25,13,7,3,4,14,1,1,3,9,3,0,0,2,,19,0,10,0,0,0,4,1,0,0,4,,1,0
7,"42. la Clota",282,255,250,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,0,,19,0,1,0,4,1,1,1,0,1,0,1,4,0,1,4,0,0,,8,8,0,0,0,0,0,0,0,0,0,,0,0
7,"43. Horta",14.069,13.108,12.724,72,24,98,13,19,39,10,39,2,19,10,5,1,3,30,,99,73,3,2,21,,665,95,57,51,46,100,19,26,95,19,8,26,33,21,17,12,13,27,,197,9,56,38,7,0,31,26,8,2,20,,0,0
8,"44. Vilapicina i la Torre Llobeta",13.780,12.509,12.166,64,32,45,10,14,52,14,42,7,15,22,6,2,0,18,,57,44,0,1,12,,885,179,90,87,81,109,21,35,94,27,6,12,54,19,27,6,26,12,,327,45,165,5,4,2,45,43,4,0,14,,2,0
8,"45. Porta",13.075,11.650,11.341,42,15,65,9,7,54,14,47,7,12,7,4,6,0,20,,144,96,6,7,35,,914,154,101,90,89,139,37,31,90,30,3,11,60,15,30,9,15,10,,366,40,124,10,6,3,54,102,2,5,20,,1,0
8,"46. el Tur� de la Peira",8.264,6.906,6.718,20,18,41,2,7,33,8,37,5,3,3,2,1,2,6,,119,91,18,0,10,,974,309,118,61,53,81,27,30,160,18,4,2,55,12,8,5,14,17,,265,83,55,0,4,0,74,44,0,0,5,,0,0
8,"47. Can Peguera",1.171,1.108,1.087,7,0,5,1,0,3,1,0,0,1,0,1,1,0,1,,16,12,0,0,4,,37,3,6,1,3,5,3,3,5,1,0,0,0,4,2,0,0,1,,10,0,4,1,4,0,0,0,0,0,1,,0,0
8,"48. la Guineueta",8.049,7.638,7.449,27,10,33,3,9,25,1,37,5,14,3,3,2,0,17,,33,24,1,2,6,,292,32,22,30,31,56,14,22,13,7,1,11,24,5,11,3,1,9,,86,15,25,5,0,2,14,18,2,1,4,,0,0
8,"49. Canyelles",3.607,3.488,3.449,5,2,10,0,1,7,2,8,0,1,0,0,0,0,3,,23,9,3,4,7,,82,7,12,9,4,11,3,7,5,2,0,2,11,2,1,0,5,1,,14,1,5,1,0,1,5,0,0,0,1,,0,0
8,"50. les Roquetes",7.976,6.709,6.437,30,18,104,2,2,38,5,33,3,11,10,2,0,0,14,,177,104,3,0,70,,921,56,123,45,30,475,28,11,46,18,2,2,30,5,6,16,9,19,,169,58,45,6,15,0,15,19,3,1,7,,0,0
8,"51. Verdun",6.574,5.587,5.412,30,11,35,4,3,27,9,24,2,3,8,1,3,0,15,,85,51,6,1,27,,722,77,73,34,25,333,13,9,69,10,0,4,34,16,9,2,10,4,,180,31,76,7,15,0,6,37,0,0,8,,0,0
8,"52. la Prosperitat",13.781,12.176,11.921,38,7,60,11,13,34,9,30,5,8,12,3,1,0,24,,180,91,10,7,72,,1.066,141,145,71,70,316,45,27,69,27,4,11,43,18,17,19,32,11,,359,33,142,12,20,6,43,89,4,0,10,,0,0
8,"53. la Trinitat Nova",3.798,3.276,3.179,11,0,22,1,4,27,1,21,1,3,0,0,0,0,6,,89,54,5,0,30,,270,23,33,21,13,93,9,4,23,10,0,0,14,2,3,7,9,6,,163,51,19,0,23,2,10,56,0,0,2,,0,0
8,"54. Torre Bar�",1.399,1.209,1.175,6,0,4,0,0,4,8,0,0,2,5,0,1,0,4,,74,56,3,3,12,,95,21,6,10,11,16,9,0,7,6,0,2,4,1,1,1,0,0,,21,14,1,1,0,4,0,0,0,0,1,,0,0
8,"55. Ciutat Meridiana",5.093,3.936,3.787,12,2,36,2,1,31,6,23,7,10,5,0,0,2,12,,301,141,4,2,154,,649,36,143,33,12,259,13,9,92,8,0,0,17,4,4,2,3,14,,207,142,20,7,13,0,4,12,2,1,6,,0,0
8,"56. Vallbona",695,633,619,1,1,2,0,1,2,0,2,0,2,1,0,0,0,2,,12,11,1,0,0,,28,5,3,2,1,5,3,0,2,0,0,0,1,0,3,0,0,3,,22,14,6,0,2,0,0,0,0,0,0,,0,0
9,"57. la Trinitat Vella",4.841,3.864,3.709,20,2,61,0,3,22,6,18,4,0,3,1,3,0,12,,268,219,10,2,37,,365,30,83,46,17,61,18,11,39,4,0,3,16,7,6,8,6,10,,344,247,30,6,18,1,20,10,0,0,12,,0,0
9,"58. Bar� de Viver",1.281,1.181,1.150,2,0,10,0,2,9,3,4,0,0,1,0,0,0,0,,37,25,10,0,2,,44,6,6,9,4,3,5,2,3,1,0,0,3,0,2,0,0,0,,19,6,3,0,3,0,4,0,0,0,3,,0,0
9,"59. el Bon Pastor",6.297,5.759,5.597,9,8,39,0,6,20,19,23,2,5,9,1,1,0,20,,79,50,5,3,21,,308,73,49,19,16,62,9,13,14,15,2,4,13,4,6,2,5,2,,151,46,50,5,17,0,7,21,4,0,1,,0,0
9,"60. Sant Andreu",29.964,28.475,27.908,120,58,86,18,34,62,19,48,8,13,24,6,3,2,66,,164,110,16,4,34,,960,117,87,121,101,117,57,43,61,55,15,15,57,29,31,16,9,29,,363,57,197,11,6,1,42,14,9,2,24,,1,1
9,"61. la Sagrera",15.272,13.934,13.459,95,33,61,14,16,92,14,46,8,23,17,2,7,2,45,,83,54,6,6,17,,911,96,100,137,92,112,32,28,84,49,9,18,59,22,23,12,17,21,,344,15,205,13,8,2,42,29,8,0,22,,0,0
9,"62. el Congr�s i els Indians",7.654,6.953,6.701,53,15,45,8,10,42,5,26,1,8,14,2,1,4,18,,46,35,2,1,8,,413,71,46,55,36,45,17,15,25,17,1,7,44,8,11,0,11,4,,242,20,116,4,3,6,51,21,2,0,19,,0,0
9,"63. Navas",11.781,10.666,10.271,91,26,73,12,13,53,17,41,6,16,12,1,2,0,32,,88,59,5,6,18,,700,128,51,107,59,65,31,38,61,31,7,8,38,25,17,18,7,9,,326,14,217,8,5,0,21,27,6,3,25,,0,1
10,"64. el Camp de l'Arpa del Clot",20.368,18.365,17.408,248,110,70,70,69,91,41,59,25,39,22,12,13,5,83,,174,145,7,0,22,,1.297,211,109,176,131,77,71,68,97,93,18,49,46,49,36,30,10,26,,529,56,296,39,14,6,33,23,17,6,39,,1,2
10,"65. el Clot",14.017,12.849,12.229,140,70,81,37,25,60,40,45,9,23,14,10,5,2,59,,129,103,8,2,16,,660,63,61,67,52,63,58,35,40,44,14,36,52,35,13,19,1,7,,377,26,242,11,10,3,42,19,8,0,16,,1,1
10,"66. el Parc i la Llacuna del Poblenou",7.682,6.928,6.244,190,83,34,38,50,54,18,23,23,21,24,21,8,10,87,,84,64,3,2,15,,396,23,21,35,51,17,36,37,19,23,25,25,29,21,11,8,4,11,,268,20,174,14,5,0,10,2,7,0,36,,2,4
10,"67. la Vila Ol�mpica del Poblenou",4.766,4.533,4.036,127,71,17,35,43,39,24,9,17,15,10,14,5,8,63,,20,16,2,1,1,,155,8,4,11,14,4,28,22,3,11,21,11,1,4,4,1,0,8,,57,6,23,3,6,0,0,0,6,0,13,,0,1
10,"68. el Poblenou",17.246,16.039,14.561,439,213,65,106,119,111,49,36,33,48,32,35,21,7,164,,110,78,10,8,14,,680,65,46,31,51,47,84,82,25,42,49,29,31,34,21,12,5,26,,405,94,211,10,10,3,9,18,6,1,43,,9,3
10,"69. Diagonal Mar i el Front Mar�tim del Poblenou",6.875,6.450,5.757,144,80,33,32,39,152,24,37,18,24,13,12,12,2,71,,48,23,8,0,17,,250,9,6,12,39,1,44,27,3,47,19,19,3,3,2,10,0,6,,125,4,62,4,13,0,2,4,4,0,32,,2,0
10,"70. el Bes�s i el Maresme",11.172,9.441,8.900,51,15,90,5,7,143,17,87,9,24,34,5,4,2,48,,254,195,15,24,20,,610,92,80,67,50,90,34,35,57,19,6,13,11,11,13,2,21,9,,866,547,165,8,52,7,25,12,1,25,24,,1,0
10,"71. Proven�als del Poblenou",10.608,9.816,9.321,110,43,52,21,32,58,16,37,14,31,20,5,5,1,50,,136,103,16,4,13,,412,46,30,27,36,42,33,31,32,40,14,10,13,20,13,8,10,7,,244,57,113,3,12,1,12,11,1,3,31,,0,0
10,"72. Sant Mart� de Proven�als",13.791,12.778,12.343,79,31,70,15,13,66,19,56,4,9,29,3,3,2,36,,64,40,3,1,20,,627,82,62,72,57,58,29,34,75,27,24,15,28,16,18,15,2,13,,322,25,237,7,7,0,13,20,2,0,11,,0,0
10,"73. la Verneda i la Pau",15.067,13.924,13.511,53,24,92,6,3,71,11,66,6,12,20,4,3,0,42,,106,71,10,9,16,,609,71,86,68,59,58,37,35,55,28,4,9,39,22,15,8,2,13,,428,66,277,13,8,4,26,25,2,0,7,,0,0
