"Dte.","Barris","TOTAL ","Total","Espanya","Italia","Francia","Romania","Regne Unit","Alemanya","Russia","Portugal","Ucraina","Paisos Baixos","Polonia","Bulgaria","Suecia","Belgica","Irlanda","Resta paisos",,"Total ","Marroc, el","Algeria","Senegal","Resta paisos",,"Total","Bolivia","Equador","Peru","Colombia","Hondures","Brasil","Argentina","Republica Dominicana","Venezuela","Estats Units, els","Mexic","Paraguai","Xile","Cuba","Uruguai","El Salvador","Resta paisos",,"Total","Pakistan","Xina","Filipines","India","Bangladesh","Georgia","Armenia","Japo","Nepal","Resta paisos",,"Oceania","Apatrides/No consta"
9,"58. Bar� de Viver",1.267,1.170,1.138,2,0,9,0,0,9,3,4,0,0,4,0,1,0,0,0,44,23,17,0,4,40,6,5,9,3,2,4,2,2,1,0,0,4,0,2,0,0,0,13,6,2,0,3,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"59. el Bon Pastor",6.300,5.803,5.625,9,8,41,0,6,18,18,23,2,5,3,17,10,1,1,16,77,55,4,3,15,318,82,55,22,22,54,13,11,11,11,3,3,11,6,7,2,1,4,102,34,43,5,15,1,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"60. Sant Andreu",29.967,28.532,27.925,113,53,87,20,34,70,21,40,8,15,41,15,21,5,3,61,155,111,15,2,27,976,125,96,125,92,114,67,53,47,53,17,15,57,33,24,18,8,32,303,45,207,8,7,1,11,1,23,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"61. la Sagrera",15.458,14.142,13.612,86,32,60,13,16,84,12,43,8,26,44,35,18,3,5,45,78,53,6,6,13,960,104,104,140,107,111,98,40,34,46,18,6,61,19,22,12,17,21,278,16,207,17,11,2,7,0,18,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"62. el Congr�s i els Indians",7.695,7.076,6.750,42,14,47,6,10,52,4,28,1,8,50,23,16,3,1,21,51,38,5,1,7,420,73,49,55,36,44,27,17,14,23,6,4,42,10,11,0,8,1,148,20,102,3,4,5,2,0,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"63. Navas",11.809,10.746,10.307,94,20,67,13,13,57,18,38,3,18,24,30,10,1,2,31,75,53,3,5,14,696,121,58,105,58,55,64,37,35,30,10,8,38,26,16,19,6,10,289,21,214,10,5,0,8,3,28,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"64. el Camp de l'Arpa del Clot",20.270,18.352,17.394,223,97,70,70,66,95,39,65,24,34,30,22,24,12,13,74,160,134,5,0,21,1.302,213,112,186,136,76,92,68,72,84,53,16,49,47,40,27,8,23,453,53,286,38,13,3,20,4,36,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"65. el Clot",14.097,12.994,12.337,133,68,76,39,27,58,38,42,8,19,44,20,14,10,5,56,129,105,8,2,14,649,66,60,69,58,51,46,58,36,46,34,12,47,28,11,18,1,8,323,26,252,8,9,3,8,0,17,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"66. el Parc i la Llacuna del Poblenou",7.614,6.876,6.235,174,78,32,30,42,50,18,22,26,20,10,0,21,21,7,90,84,61,3,3,17,395,21,21,25,51,17,19,44,30,24,29,28,34,16,10,8,4,14,255,18,171,15,12,0,8,0,31,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"67. la Vila Ol�mpica del Poblenou",4.706,4.467,3.989,125,66,15,35,41,45,24,10,15,13,0,0,9,14,6,60,18,14,2,1,1,162,7,6,11,12,4,2,27,23,13,14,24,1,2,4,2,0,10,59,5,25,2,8,0,8,0,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"68. el Poblenou",17.231,16.037,14.602,401,200,63,93,115,118,46,38,34,42,11,23,31,31,20,169,118,84,9,10,15,697,69,48,37,60,49,23,88,78,41,29,47,29,34,24,13,4,24,367,87,205,9,21,3,6,0,36,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"69. Diagonal Mar i el Front Mar�tim del Poblenou",6.842,6.442,5.755,146,84,30,35,36,148,22,28,19,26,2,6,13,11,12,69,47,28,8,1,10,237,8,5,12,34,3,5,41,27,46,15,20,3,2,0,9,1,6,115,8,64,4,11,0,4,0,24,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"70. el Bes�s i el Maresme",11.325,9.615,9.058,44,15,90,5,10,143,15,80,7,20,28,14,31,4,3,48,256,194,15,23,24,605,102,82,67,50,78,54,34,30,26,10,6,15,10,12,2,21,6,848,565,158,7,61,4,1,27,25,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"71. Proven�als del Poblenou",10.441,9.711,9.234,98,42,49,19,35,46,16,33,10,27,15,10,19,5,4,49,128,97,13,3,15,388,45,24,28,38,42,31,30,29,30,8,11,20,18,14,8,7,5,214,48,113,2,17,1,0,4,29,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"72. Sant Mart� de Proven�als",13.804,12.841,12.400,74,30,68,12,14,63,17,45,4,11,18,19,26,3,5,32,61,37,5,1,18,633,84,63,76,65,54,71,34,36,29,16,9,32,14,18,15,2,15,269,30,214,7,6,0,2,1,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"73. la Verneda i la Pau",15.055,13.976,13.554,50,23,92,6,2,65,9,58,4,11,17,21,16,4,3,41,110,75,7,9,19,606,74,82,68,49,51,63,36,40,23,8,3,40,23,15,12,3,16,362,65,262,13,6,4,3,0,9,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"No consta",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
