"Dte.","Barris","TOTAL ","Total","Espanya","Italia","Francia","Romania","Regne Unit","Alemanya","Russia","Portugal","Ucraina","Paisos Baixos","Polonia","Bulgaria","Suecia","Belgica","Irlanda","Resta paisos",,"Total ","Marroc, el","Algeria","Senegal","Resta paisos",,"Total","Bolivia","Equador","Peru","Colombia","Hondures","Brasil","Argentina","Republica Dominicana","Venezuela","Estats Units, els","Mexic","Paraguai","Xile","Cuba","Uruguai","El Salvador","Resta paisos",,"Total","Pakistan","Xina","Filipines","India","Bangladesh","Georgia","Armenia","Japo","Nepal","Resta paisos",,"Oceania","Apatrides/No consta"
6,"29. el Coll",3.801,3.472,3.241,47,38,24,20,11,19,13,10,9,3,2,0,6,0,7,22,35,30,4,0,1,254,45,15,31,22,9,20,15,28,7,17,12,9,2,2,2,6,12,37,9,4,3,6,0,4,0,11,3,0,0,,
6,"30. la Salut",7.155,6.715,6.321,117,50,26,36,18,17,33,6,5,6,10,12,2,5,7,44,28,16,7,0,5,348,30,19,45,49,17,30,27,11,32,9,20,14,19,10,6,2,8,62,4,23,4,8,1,4,0,18,1,1,0,,
6,"31. la Vila de Gr�cia",27.570,25.210,22.571,804,410,82,225,222,79,140,29,75,61,73,21,35,8,40,335,142,103,12,2,25,1.745,174,118,162,162,51,154,129,72,148,112,88,92,128,32,48,22,53,457,26,185,27,49,9,27,17,117,11,5,0,,
6,"32. el Camp d'en Grassot i Gr�cia Nova",18.630,17.257,16.256,260,148,48,79,83,36,45,36,31,16,23,19,16,23,17,121,66,51,3,1,11,992,133,92,87,137,35,66,66,38,69,48,28,45,67,26,18,8,29,306,43,142,16,17,0,12,27,49,7,2,0,,
7,"33. el Baix Guinard�",13.822,12.567,11.951,137,46,58,31,45,55,25,27,27,16,13,40,9,13,6,68,55,37,5,3,10,978,107,105,161,171,32,51,58,33,48,27,63,39,18,19,18,14,14,220,35,116,9,9,0,10,8,33,1,1,0,,
7,"34. Can Bar�",4.736,4.332,4.097,42,37,27,19,12,32,4,7,9,1,6,1,7,0,4,27,28,20,3,0,5,290,30,31,29,29,10,21,16,21,15,27,15,8,4,5,6,7,16,85,25,35,2,2,0,7,1,13,1,0,0,,
7,"35. el Guinard�",19.232,17.193,16.383,181,84,86,39,29,76,20,42,35,19,16,25,26,39,9,84,192,131,14,2,45,1.619,211,203,202,211,108,102,62,135,30,50,132,51,22,23,33,21,23,222,43,118,10,10,0,13,1,27,3,3,0,,
7,"36. la Font d'en Fargues",4.955,4.766,4.649,27,18,14,5,11,6,5,9,2,1,0,1,1,3,1,13,23,19,2,0,2,152,32,20,13,18,1,10,6,15,4,7,8,7,2,7,1,0,1,14,0,10,1,0,0,0,0,3,0,0,0,,
7,"37. el Carmel",16.507,14.846,14.270,81,42,106,15,7,69,26,42,28,9,5,25,26,39,4,52,171,121,12,6,32,1.311,317,254,143,106,61,51,33,105,25,26,82,22,8,15,23,29,11,179,54,81,11,15,0,6,3,9,0,0,0,,
7,"38. la Teixonera",5.989,5.385,5.156,45,22,32,10,4,20,12,18,17,4,7,2,9,5,0,22,56,37,6,4,9,477,67,59,82,42,34,24,26,23,15,27,20,17,5,8,3,16,9,70,25,15,1,21,0,1,2,5,0,1,0,,
